0.5999,0.5718
0.0778,0.4232
0.1831,0.5002
0.0723,0.4309
0.1594,0.4164
0.4666,0.5314
0.2282,0.4662
0.6684,0.4511
0.5921,0.478
0.1283,0.5186
0.3639,0.4882
0.5727,0.5041
0.8174,0.4844
0.692,0.411
0.8166,0.5499
0.2276,0.5201
0.0865,0.466
0.321,0.4742
0.8176,0.5103
0.1362,0.5478
0.8357,0.5051
0.282,0.495
0.1942,0.516
0.1974,0.4633
0.1444,0.5033
0.4645,0.5087
0.3013,0.4862
0.157,0.506
0.2971,0.4653
0.4396,0.5141
0.4824,0.5264
0.0688,0.4136
0.366,0.4806
0.0814,0.524
0.533,0.5129
0.1924,0.4648
0.3107,0.4677
0.0768,0.4577
0.2072,0.4175
0.2704,0.528
0.1019,0.4787
0.2804,0.4979
0.2936,0.475
0.214,0.4855
0.259,0.4611
0.3589,0.5508
0.0834,0.4787
0.1733,0.4517
0.1595,0.4705
0.317,0.4695
0.1069,0.5162
0.1257,0.4892
0.5261,0.4723
0.1462,0.4948
0.1033,0.3909
0.3342,0.5146
0.3252,0.4676
0.1172,0.4497
0.1842,0.443
0.2246,0.4447
0.4461,0.5734
0.4884,0.5132
0.6917,0.5082
0.2359,0.5308
0.3372,0.5881
0.1744,0.4281
0.068,0.4616
0.6299,0.4629
0.1391,0.4899
0.1686,0.4724
0.6557,0.5081
0.2601,0.4414
0.3395,0.5346
0.332,0.4899
0.1764,0.4391
0.2921,0.4641
0.4162,0.5459
0.1562,0.4645
0.5339,0.4988
0.1721,0.4626
0,0
0.1733,0.5214
0.2614,0.5369
0.2082,0.484
0.6766,0.518
0.1212,0.4659
0.1755,0.4962
0.0818,0.5273
0.5212,0.5575
0,0
0.1255,0.5107
0.5383,0.4905
0,0
0.12,0.4833
0.7892,0.5224
0.7646,0.4793
0,0
0.2893,0.4384
0.3673,0.5404
0.1214,0.4852
0.4997,0.4593
0.7526,0.5682
0.7493,0.5348
0.1565,0.5519
0.2057,0.5285
0.3576,0.5295
0.2913,0.5001
0.2527,0.4932
0.2452,0.5465
0.5525,0.5156
0.477,0.4764
0.201,0.4802
0.2006,0.5129
0.1453,0.548
0.202,0.5541
